"產地","主旨","原因","進口商名稱","進口商地址","貨品分類號列","檢驗方法","不合格原因暨檢出量詳細說明","法規限量標準","製造廠或出口商名稱","製造商代碼","牌名","重量","處置情形","發布日期","報驗受理日期","附圖"
"中國大陸","奶油刮刀","容器具-溶出試驗不符規定","金樂客餐飲國際有限公司","高雄市三民區中原街89號","3924.10.00.90-6","衛生福利部107年9月17日衛授食字第1071901787號公告修正「食品器具、容器、包裝檢驗方法-聚丙烯塑膠類之檢驗(MOHWU0007.03)」","案內產品以4%醋酸(95℃，30分鐘)、正庚烷(25℃，60分鐘)溶出試驗結果，蒸發殘渣值76 ppm、4746 ppm","依據「食品器具容器包裝衛生標準」，以聚丙烯為原料之塑膠類其溶出試驗4%醋酸(95℃，30分鐘)、正庚烷(25℃，60分鐘)合格標準皆為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","肇庆高新区强宏塑料模具有限公司","","","16.00 PCE(1.76 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/11/30","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207191406129"
"智利","紅櫻桃","農藥殘留含量不符規定","啟照企業股份有限公司","高雄市路竹區中山路236號","0809.29.00.00-0","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽安勃0.01 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","GIDDINGS CERASUS S.A.","","","220.00 CTN(1,100.00 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/01","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207322097444"
"智利","鮮白櫻桃","農藥殘留含量不符規定","宇鮮有限公司","新北市三重區中正北路118巷17號1樓","0809.29.00.00-0","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽安勃0.04 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","TUNICHE FRUITS LTDA","","TUNICHE","512.00 CTN(1,126.40 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/02","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207444861838"
"日本","鮮草莓","農藥殘留含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號2樓","0810.10.00.00-8","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽安勃0.06 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","RICCO CO.,LTD","佐賀                                                                                                                                                                                                    ","","150.00 CAS(75.00 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/11/29","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207577842807"
"日本","鮮草莓","農藥殘留含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號1樓","0810.10.00.00-8","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽安勃0.33 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","RICCO CO.,LTD","佐賀                                                                                                                                                                                                    ","","100.00 CAS(50.00 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/01","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207696874622"
"日本","鮮草莓","農藥殘留含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號2樓","0810.10.00.00-8","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥氟尼胺0.34 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","RICCO CO.,LTD","奈良                                                                                                                                                                                                    ","","66.00 CAS(35.60 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/02","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207848893616"
"日本","鮮草莓","農藥殘留含量不符規定","川咏水果有限公司","新北市中和區建八路152巷10號2樓","0810.10.00.00-8","衛生福利部108.05.10衛授食字第1081900612號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥氟尼胺0.36 ppm","依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","RICCO CO.,LTD","熊本                                                                                                                                                                                                    ","","448.00 CAS(224.00 )","案內不符合商品依規定退運或銷毀。","2023/01/03","2022/12/03","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638080207989484590"
"法國","洛克福藍紋乾酪","微生物含量不符規定","聯馥食品股份有限公司","臺北市北投區中央北路4段515巷28號3樓","0406.40.00.00-2","衛生福利部110.10.6部授食字第1101902155號公告修正「食品微生物之檢驗方法-大腸桿菌之檢驗(MOHWM0023.02)」","檢出大腸桿菌1100 MPN/g、240 MPN/g、1100 MPN/g、 1100 MPN/g、1100 MPN/g","依據「食品中微生物衛生標準」，大腸桿菌於乾酪類之檢驗結果判定，5個樣品中，允許有≦2個樣品之微生物檢驗值介於10 MPN/g(mL)和100 MPN/g(mL)之間，但不得有任何一個樣品之檢驗值＞100 MPN/g(mL)，本案不符合食品安全衛生管理法第17條規定。","SOCIETE AFFINAGE - CONDITIONNEMENT","FR 12.203.018 CE                                                                                                                                                                                        ","SOCIETE","2.00 KGM(2.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/07/29","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288980151341935"
"越南","糙米","農藥殘留含量不符規定","泉順食品企業股份有限公司","苗栗縣苑裡鎮玉田里7鄰玉田91之1號","1006.20.00.00-8","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥巴克素0.03 ppm","依據「農藥殘留容許量標準」，農藥巴克素定量極限為0.02 ppm，本案不符合食品安全衛生管理法第15條規定。","TUONGLAN AGREX CO.,LTD.","TNAXCO                                                                                                                                                                                                  ","","360.00 TNE(360,000.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/08/01","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288993829853855"
"塞席爾","冷凍紅皮刀","重金屬含量不符規定","三國水產貿易有限公司","屏東縣琉球鄉漁福村本漁路21巷71-7號","0303.89.89.90-3","106年8月31日衛授食字第1061901672號公告「食品中甲基汞檢驗方法(三)(MOHWH0018.00)」","檢出重金屬甲基汞0.8 mg/kg","依據「食品中污染物質及毒素衛生標準」，甲基汞(其他魚類)限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。","ABUNDANT TRADING LTD","","","200.00 KGM(200.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/08/03","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288993902915810"
"越南","西芹","農藥殘留含量不符規定","承益農產行","雲林縣二崙鄉三和村三塊厝路14之2號","0709.40.00.00-6","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥待克利0.05 ppm","依據「農藥殘留容許量標準」，農藥待克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","TMD VUNG TAU CO., LTD","","","22,000.00 KGM(22,000.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/08/04","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288993981140589"
"韓國","哈密瓜","農藥殘留含量不符規定","兆勝貿易有限公司","彰化縣員林市南平里復興路臨22號2樓","0807.19.10.00-2","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥特安勃0.03 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","DAESHIN AGRICULTURAL COOPERATIVE CORPORATION","","SWEET MELON","825.00 CTN(6,600.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/08/07","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288994049637028"
"日本","酸桔","農藥殘留含量不符規定","魚金貿易有限公司","台北市中山區農安街32號7樓之12","0805.90.00.00-8","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥依普同0.03 ppm","依據「農藥殘留容許量標準」，農藥依普同定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","ADDICTION CORPORATION","德島                                                                                                                                                                                                    ","ADDICTION CORPORATION","1.00 KGM(1.00 )","案內不符合商品依規定退運或銷毀。","2023/08/29","2023/08/10","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638288994122177788"
"美國","鮮櫻桃","農藥殘留含量不符規定","利佳貿易有限公司","臺北市中正區忠孝西路1段50號15樓之38","0809.29.00.00-0","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥滅芬座0.01 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","GEBBERS FARMS","","","2,592.00 CTN(15,306.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/14","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294421464522904"
"美國","鮮櫻桃","農藥殘留含量不符規定","利佳貿易有限公司","臺北市中正區忠孝西路1段50號15樓之38","0809.29.00.00-0","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥滅芬座0.03 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","GEBBERS FARMS","","","1,920.00 CTN(17,418.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/14","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294421639236613"
"中國大陸","普洱茶茶粉","農藥殘留含量不符規定","酷澎股份有限公司","臺北市信義區信義路5段7號13樓、13樓之1、13樓之2","2101.20.00.00-0","食品藥物管理署公開建議檢驗方法「食品中殘留農藥檢驗方法－多重殘留分析方法(六)」(TFDAP0007.04)【自112.04.20生效】","檢出殘留農藥克美素1.17 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","DANONGWON CO.,LTD","","GOMGOM","10.00 PCE(1.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/04/28","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294422150575302"
"印度","黑胡椒粉","農藥殘留含量不符規定","恆聯有限公司","臺北市北投區永興路2段47號4樓","0904.12.00.00-3","食品藥物管理署公開建議檢驗方法「食品中環氧乙烷及其反應產物2-氯乙醇之檢驗方法」(TFDAP0022.04)【自112.07.05生效】","檢出殘留農藥環氧乙烷22.8 mg/kg","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","INDO VEDIC NUTRIENTSP PVT. LTD.","","","4.00 KGM(4.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/01","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294422326297126"
"泰國","麻仁(芝麻仁)","農藥殘留含量不符規定","緯承實業股份有限公司","台北市士林區承德路4段124號2樓","1207.40.00.00-1","衛生福利部食品藥物管理署112年4月20日修正建議檢驗方法「食品中殘留農藥檢驗方法-磷化氫之檢驗(TFDAP0025.01)」","檢出殘留農藥磷化氫0.013 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","LIMSAKDAKUL AGRICULTURAL INDUSTRIAL (THAILAND) CO., LTD.","","鷹標","18.90 TNE(18,900.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/07","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294423111261166"
"越南","海鮮味麵","農藥殘留含量不符規定","谷崗有限公司","屏東縣新園鄉仙吉村興安路1巷49號","1902.30.10.10-7","食品藥物管理署公開建議檢驗方法「食品中環氧乙烷及其反應產物2-氯乙醇之檢驗方法」(TFDAP0022.04)【自112.07.05生效】","案內產品之「辣椒包」檢出殘留農藥環氧乙烷0.1 mg/kg","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","CONG TY CO PHAN ACECOOK VIET NAM","","ACECOOK","300.00 CTN(921.60 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/09","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294423608732317"
"日本","陶製茶碗","容器具-溶出試驗不符規定","邁可通國際開發有限公司","臺北市松山區民生東路5段36巷8弄3號1樓","6912.00.10.00-3","衛生福利部105年8月4日部授食字第1051901371號公告修正「食品器具、容器、包裝檢驗方法-玻璃、陶瓷器、施琺瑯之檢驗」","檢出重金屬鉛31 ppm","依據「食品器具容器包裝衛生標準」，玻璃、陶瓷器、施琺瑯之器具、容器-深2.5cm 以上且容量1.1公升以下者，重金屬鉛之合格標準為5 ppm以下，本案不符合食品安全衛生管理法第17條規定。","おたからや(株式会社いーふらん)","神奈川                                                                                                                                                                                                  ","","1.00 PCE(1.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/11","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294423841681472"
"塞席爾","冷凍紅皮刀","重金屬含量不符規定","豐順興水產企業有限公司","高雄市小港區崇明街176號","0303.89.89.90-3","106年8月30日衛授食字第1061901672號公告「食品中甲基汞檢驗方法(三)(MOHWH0018.00)」","檢出重金屬甲基汞0.7 mg/kg","依據「食品中污染物質及毒素衛生標準」，甲基汞(其他魚類)限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。","FORTUNE MARTIME FISHING LIMITED","","","591.00 KGM(591.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/11","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638295028138085542"
"法國","冷凍黃蘑菇","原子塵或放射能不符規定","聯馥食品股份有限公司","臺北市北投區中央北路4段515巷28號3樓","0710.80.90.90-6","105年5月19日部授食字第1051900834號公告訂定「食品中放射性核種之檢驗方法(MOHWO0015.00)」","檢出銫-137 184 貝克/公斤","依據「食品中原子塵或放射能污染容許量標準」，銫-134與銫-137之總和限量為100 貝克/公斤，本案不符合食品安全衛生管理法第15條規定。","BORDE","","BORDE","150.00 KGM(150.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/15","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294442108630415"
"澳大利亞","菠菜","農藥殘留含量不符規定","永茂蔬果有限公司","新北市三重區成功路51號","0709.70.00.00-9","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥歐西比0.02 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","WATT EXPORT PTY LTD","","","41.00 CTN(123.00 )","案內不符合商品依規定退運或銷毀。","2023/09/05","2023/08/15","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638294442288594038"
"印尼","調味料","防腐劑含量不符規定","協安貿易有限公司","新北市新店區吉安街14號1樓","2103.90.90.90-5","衛生福利部108年1月30日衛授食字第1081900155號公告修正「食品中防腐劑之檢驗方法(MOHWA0020.03)」","檢出防腐劑苯甲酸0.92 g/kg，依業者所提原廠成分比例文件，苯甲酸為原料中萊姆濃縮汁帶入，經計算萊姆原汁添加苯甲酸含量為6.4 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，苯甲酸於果汁用量以Benzoic Acid計為1.0 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","KRISTIANA JAKARTA-INDONESIA","","RATU","60.00 CTN(1,200.00 )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/07/24","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638301093856781299"
"印尼","調味料","防腐劑含量不符規定","協安貿易有限公司","新北市新店區吉安街14號1樓","2103.90.90.90-5","衛生福利部108年1月30日衛授食字第1081900155號公告修正「食品中防腐劑之檢驗方法(MOHWA0020.03)」","檢出防腐劑苯甲酸0.75 g/kg，依業者所提原廠成分比例文件，苯甲酸為原料中萊姆濃縮汁帶入，經計算萊姆原汁添加苯甲酸含量為5.2 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，苯甲酸於果汁用量以Benzoic Acid計為1.0 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","KRISTIANA JAKARTA-INDONESIA","","RATU","60.00 CTN(1,200.00 )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/07/24","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638301093922301258"
"中國大陸","辣椒粉","含非法定著色劑 & 農藥殘留含量不符規定","韓廣企業有限公司","新北市三重區光華路17號","0904.22.00.00-1","食品藥物管理署108.05.22公開建議檢驗方法-「食品中蘇丹色素之檢驗方法(二) (TFDAA0074.00)」；食品藥物管理署公開建議檢驗方法「食品中殘留農藥檢驗方法－多重殘留分析方法(六)」(TFDAP0007.04)【自112.04.20生效】","(1)檢出蘇丹色素三號9 ppb
(2)檢出殘留農藥克美素0.07 ppm","(1)屬未經中央主管機關許可之添加物，本案不符合食品安全衛生管理法第15條第1項第10款規定。(2)本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","QINGDAO DONGXUAN FOODS CO., LTD","","SINGSONG","150.00 CTN(3,600.00 )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/08/10","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638301093985594530"
"中國大陸","小麥纖維砧板","容器具-溶出試驗不符規定","隆藝清潔用品股份有限公司","彰化縣永靖鄉五汴村九分路441號","3924.10.00.90-6","衛生福利部107年9月17日衛授食字第1071901787號公告修正「食品器具、容器、包裝檢驗方法-聚丙烯塑膠類之檢驗(MOHWU0007.03)」","案內產品蒸發殘渣溶出試驗(4%醋酸95℃/30分鐘)為126 ppm","依據「食品器具容器包裝衛生標準」，溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","JIN HUA PAN AN DONGTENG COMMODITY CO.LTD","","金獎","1,600.00  PCE(640.00  )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/08/18","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638300462007434726"
"中國大陸","小麥纖維砧板","容器具-溶出試驗不符規定","隆藝清潔用品股份有限公司","彰化縣永靖鄉五汴村九分路441號","3924.10.00.90-6","衛生福利部107年9月17日衛授食字第1071901787號公告修正「食品器具、容器、包裝檢驗方法-聚丙烯塑膠類之檢驗(MOHWU0007.03)」","案內產品蒸發殘渣溶出試驗(4%醋酸95℃/30分鐘)為95 ppm","依據「食品器具容器包裝衛生標準」，溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","JIN HUA PAN AN DONGTENG COMMODITY CO.LTD","","金獎","1,200.00 PCE(850.00 )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/08/18","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638301094119966918"
"泰國","山竹","農藥殘留含量不符規定","巨加利企業有限公司","台北市復興北路58號4樓","0804.50.30.00-1","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥佈飛松0.04 ppm、芬普尼0.007 ppm","依據「農藥殘留容許量標準」，農藥佈飛松定量極限為0.01 ppm、芬普尼定量極限為0.001 ppm，本案不符合食品安全衛生管理法第15條規定。","SIAM EXPORT MART CO.,LTD.","","","120.00 CTN(580.00 )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/08/21","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638300463022859956"
"美國","鮮櫻桃","農藥殘留含量不符規定","新鮮貿易股份有限公司","臺北市中山區中山北路3段34號12樓","0809.29.00.00-0","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥滅芬座0.03 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","GEBBERS FARMS","","","2,880.00 CTN(14,400.00 )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/08/21","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638301094271932963"
"美國","鮮櫻桃","農藥殘留含量不符規定","新鮮貿易股份有限公司","臺北市中山區中山北路3段34號12樓","0809.29.00.00-0","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥滅芬座0.02 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","GEBBERS FARMS","","","2,640.00 CTN(15,155.00 )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/08/21","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638301094338710927"
"越南","速食酸辣蝦味麵","農藥殘留含量不符規定","瀚璵有限公司","屏東縣新園鄉興龍村中興五巷5-2號1樓","1902.30.10.20-5","食品藥物管理署公開建議檢驗方法「食品中環氧乙烷及其反應產物2-氯乙醇之檢驗方法」(TFDAP0022.04)【自112.07.05生效】","案內產品之調味粉包檢出殘留農藥環氧乙烷0.1 mg/kg","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","CONG TY CO PHAN ACECOOK VIET NAM","","ACECOOK","600.00 CTN(1,350.00 )","案內不符合商品依規定退運或銷毀。","2023/09/12","2023/08/22","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638301094410336809"
"中國大陸","黃連萃取物","漂白劑含量不符規定","會昌實業股份有限公司","台北市中山區天祥路59號9樓","1302.19.90.00-3","衛生福利部111.11.18衛授食字第1111902258號公告檢驗方法「食品中二氧化硫之檢驗方法」(MOHWA0013.03)","檢出二氧化硫0.087 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，准用亞硫酸鹽類漂白劑用量以二氧化硫殘留量計為0.030 g/kg以下，本案不符合食品安全衛生管理法第18條規定。","HUNAN HUAKANG BIOTECH INC.","","","15.00 KGM(15.00 )","案內不符合商品依規定退運或銷毀。","2023/09/19","2023/08/29","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638306481673692543"
"印尼","辣木薯脆片","甜味劑含量不符規定","佳恩貿易有限公司","桃園市龜山區樂善二路215號21樓","1905.90.90.00-6","衛生福利部109年9月9日衛授食字第1091901745號公告訂定-「食品中甜味劑之檢驗方法-多重分析」(MOHWA0030.00)」","檢出甜味劑糖精0.03 g/kg、環己基(代)磺醯胺酸 0.23 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。","GALEN SNACK","","GALEN SNACK","74.00  CTN(555.00  )","案內不符合商品依規定退運或銷毀。","2023/09/19","2023/08/02","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638306482167398837"
"韓國","海苔(辣雞風味)","甜味劑含量不符規定","秦冠貿易有限公司","新北市三重區重新路1段84號(4樓)","2008.99.50.00-9","衛生福利部109年9月9日衛授食字第1091901745號公告訂定-「食品中甜味劑之檢驗方法-多重分析」(MOHWA0030.00)」","檢出甜味劑甜菊醣0.13 g/kg、Rebaudioside A 0.4 g/kg，兩者屬於甜菊醣苷種類，加總為0.53 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。","CJ CHEILJEDANG CORP.(韓國希杰集團)","","CJ","60.00 CTN(10.80 )","案內不符合商品依規定退運或銷毀。","2023/09/19","2023/08/04","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638306482323436435"
"越南","杯","容器具-溶出試驗不符規定","鴻翊聯合股份有限公司","臺北市松山區敦化南路1段21號4樓之3","3924.10.00.20-1","衛生福利部107年9月20日衛授食字第1071901850號公告修正「食品器具、容器、包裝檢驗方法-以甲醛-三聚氰胺為合成原料之塑膠類檢驗(MOHWU0029.03)」","案內產品以4％醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣值為35 ppm","依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類，其以4％醋酸(60℃,30分鐘)溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","RICE A/S","","","60.00  PCE(6.60  )","案內不符合商品依規定退運或銷毀。","2023/09/19","2023/08/16","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638306483400276755"
"越南","碗","容器具-溶出試驗不符規定","鴻翊聯合股份有限公司","臺北市松山區敦化南路1段21號4樓之3","3924.10.00.10-3","衛生福利部107年9月20日衛授食字第1071901850號公告修正「食品器具、容器、包裝檢驗方法-以甲醛-三聚氰胺為合成原料之塑膠類檢驗(MOHWU0029.03)」","案內產品以4％醋酸(60℃,30分鐘)溶出試驗結果，蒸發殘渣值為35 ppm","依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為合成原料之塑膠類，其以4％醋酸(60℃,30分鐘)溶出試驗蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。","RICE A/S","","","60.00 PCE(6.60 )","案內不符合商品依規定退運或銷毀。","2023/09/19","2023/08/16","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638306483679160872"
"泰國","綠豆仁","農藥殘留含量不符規定","登農企業有限公司","臺北市萬華區寶興街222巷26號1樓","0713.31.10.90-0","衛生福利部食品藥物管理署112年4月20日修正建議檢驗方法「食品中殘留農藥檢驗方法-磷化氫之檢驗(TFDAP0025.01)」","檢出殘留農藥磷化氫0.009 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","PAC RIM RESOURCES CO.,LTD.","","","24.00  TNE(24,000.00  )","案內不符合商品依規定退運或銷毀。","2023/09/19","2023/08/16","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638306483958260989"
"斐濟","冷凍紅皮刀","重金屬含量不符規定","信泰國際有限公司","高雄市前鎮區佛道路88號5樓","0303.89.89.90-3","衛生福利部106.08.30衛授食字第1061901672號公告檢驗方法「食品中甲基汞檢驗方法(三)」(MOHWH0018.00)【自106.08.30生效】","檢出重金屬甲基汞0.7 mg/kg","依據「食品中污染物質及毒素衛生標準」，甲基汞(其他魚類)限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。","S.F. OCEAN ENTERPRISE CO., LTD.","","","527.00 KGM(527.00 )","案內不符合商品依規定退運或銷毀。","2023/09/19","2023/08/18","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638306484335441796"
"中國大陸","夏威夷果仁(原味)(薄鹽味)(蜂蜜味)","甜味劑含量不符規定","中智實業有限公司","臺北市中山區中山北路3段25號2樓之33","2008.19.90.90-9","衛生福利部109年9月9日衛授食字第1091901745號公告訂定-「食品中甜味劑之檢驗方法-多重分析」(MOHWA0030.00)」","檢出甜味劑環己基(代)磺醯胺酸0.13 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。","YICHENG FOOD DEVELOPMENT CO., LTD.","","YIXIANG","700.00 CTN(1,400.00 )","案內不符合商品依規定退運或銷毀。","2023/09/19","2023/08/21","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638306484922420400"
