"產地","主旨","原因","進口商名稱","進口商地址","貨品分類號列","檢驗方法","不合格原因暨檢出量詳細說明","法規限量標準","製造廠或出口商名稱","製造商代碼","牌名","重量","處置情形","發布日期","報驗受理日期","附圖"
"中國大陸","冷凍青花菜","農藥殘留含量不符規定","宇恩國際食品有限公司","高雄市梓官區大舍東路300巷23號","0710.80.30.00-8","食品藥物管理署公開建議檢驗方法「食品中殘留農藥檢驗方法－多重殘留分析方法(六)」(TFDAP0007.04)【自112.04.20生效】","檢出殘留農藥克美素0.02 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","NINGBO XINGHEREN TRADING CO.,LTD","","","18,000.00 KGM/18,000.00 ","案內不符合商品依規定退運或銷毀。","2024/12/24","2024/11/22","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638706373598644086"
"中國大陸","白蘿蔔","農藥殘留含量不符規定","新達農產品有限公司","雲林縣西螺鎮市場北路170號1樓","0706.90.00.10-6","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賽速安1.19 ppm","依據「農藥殘留容許量標準」，農藥賽速安容許量為0.25 ppm，本案不符合食品安全衛生管理法第15條規定。","QINGDAO NAHSIN FOODS CO.,LTD","","","23.00 TNE/23,000.00 ","案內不符合商品依規定退運或銷毀。","2024/12/24","2024/11/25","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638706373648290948"
"中國大陸","白蘿蔔","農藥殘留含量不符規定","智行企業社","高雄市林園區清水岩路253號","0706.90.00.10-6","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥三氯松0.02 ppm","依據「農藥殘留容許量標準」，農藥三氯松定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","DONGBAO DISTRICT SHUNYE AGRICULTURE PRODUCTS TRADE CENTER(INDIVIDUAL)","","","21.60 TNE/21,600.00 ","案內不符合商品依規定退運或銷毀。","2024/12/24","2024/11/25","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638706373710021581"
"中國大陸","辣椒","農藥殘留含量不符規定","葛來得股份有限公司","桃園市楊梅區福德街86巷21號","0904.21.90.00-3","食品藥物管理署公開建議檢驗方法「食品中殘留農藥檢驗方法－多重殘留分析方法(六)」(TFDAP0007.04)【自112.04.20生效】","檢出殘留農藥二‧四地0.31 ppm","依據「農藥殘留容許量標準」，農藥二‧四地定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","寧夏順元堂漢方生物科技有限公司","","","15,630.00 KGM/15,630.00 ","案內不符合商品依規定退運或銷毀。","2024/12/24","2024/11/25","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638706373769604659"
"秘魯","鮮藍莓","農藥殘留含量不符規定","義祥貿易股份有限公司","新北市板橋區中山路2段443巷75號5樓","0810.40.10.00-0","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥賜派滅0.04 ppm","本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。","AGRICOLA DON RICARDO S.A.C.","","GRANDEZZA","7,800.00 CTN/11,700.00 ","案內不符合商品依規定退運或銷毀。","2024/12/24","2024/11/29","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638706373823684637"
"日本","黃柚","農藥殘留含量不符規定","豊漁貿易有限公司","新北市三重區光復路2段88巷22弄6號","0805.90.00.00-8","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥白克列0.02 ppm、克收欣0.22 ppm、得克利0.04 ppm","依據「農藥殘留容許量標準」，農藥白克列、克收欣、得克利定量極限皆為 0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","KOGA HOLDINGS CO., LTD.","高知                                                                                                                                                                                                    ","","25.00  KGM/25.00  ","案內不符合商品依規定退運或銷毀。","2025/03/11","2025/02/11","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638772953251034732"
"日本","鮮草莓","農藥殘留含量不符規定","泓鑫農產有限公司","基隆市中正區德義里信四路15號","0810.10.00.00-8","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥滅派林1.6 ppm","依據「農藥殘留容許量標準」，農藥滅派林容許量為 1.0 ppm，本案不符合食品安全衛生管理法第15條規定。","YUSHO CO.,LTD.","熊本                                                                                                                                                                                                    ","","605.00  CTN/312.50  ","案內不符合商品依規定退運或銷毀。","2025/03/11","2025/02/14","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638772953365964820"
"印尼","芫荽粉","農藥殘留含量不符規定","億瓏貿易股份有限公司","桃園市八德區建國路366號","0909.22.00.00-6","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥貝芬替0.07 ppm","依據「農藥殘留容許量標準」，農藥貝芬替定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","PT. GUNACIPTA MULTIRASA","","KOEPOE","250.00  CTN/450.00  ","案內不符合商品依規定退運或銷毀。","2025/03/11","2025/02/06","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638772953431772726"
"印尼","芫荽粉","農藥殘留含量不符規定","億瓏貿易股份有限公司","桃園市八德區建國路366號","0909.22.00.00-6","衛生福利部111.08.17衛授食字第1111901537號公告修正「食品中殘留農藥檢驗方法-多重殘留分析方法(五)」","檢出殘留農藥貝芬替0.99 ppm","依據「農藥殘留容許量標準」，農藥貝芬替定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","PT. GUNACIPTA MULTIRASA","","KOEPOE","30.00  CTN/300.00  ","案內不符合商品依規定退運或銷毀。","2025/03/11","2025/02/06","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638772953498640429"
"韓國","醬油","防腐劑含量不符規定","韓華國際股份有限公司","新北市五股區五權三路15號","2103.10.90.00-1","衛生福利部108年1月30日衛授食字第1081900155號公告修正「食品中防腐劑之檢驗方法(MOHWA0020.03)」","檢出防腐劑對羥苯甲酸乙酯0.167 g/kg、雙十二烷基硫酸硫胺明0.01 g/kg","依據「食品添加物使用範圍及限量暨規格標準」，防腐劑對羥苯甲酸乙酯於醬油用量以p-Hydroxybenzoic Acid計為0.25g/kg以下、雙十二烷基硫酸硫胺明於醬油用量以Laurylsulfate 計為0.01g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值(即使用量/用量標準)總和不得大於 1，本案不符合食品安全衛生管理法第18條規定。","SUNGSIM MASTER FOOD CO., LTD.","","SUNGSIM MASTER FOOD","30.00  CTN/390.00  ","案內不符合商品依規定退運或銷毀。","2025/03/11","2024/11/01","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638772953570924690"
"日本","咖哩粉","農藥殘留含量不符規定","太冠國際開發事業有限公司","新北市新店區中正路538巷7號(1樓)","0910.99.20.00-7","食品藥物管理署公開建議檢驗方法「食品中殘留農藥檢驗方法－磷化氫之檢驗(TFDAP0025.01)」【自112.04.20生效】","檢出殘留農藥磷化氫0.011 ppm，依據業者檢附成分比例表換算農藥殘留量：薑黃0.04 ppm、胡荽0.04 ppm、葫蘆巴0.091 ppm、馬芹0.12 ppm、陳皮0.11 ppm、胡椒0.31 ppm、紅辣椒0.46 ppm、小茴香0.58 ppm、薑1.10 ppm、八角1.10 ppm、百里香1.57 ppm、月桂葉2.75 ppm、肉豆蔻3.67 ppm、鼠尾草11.000 ppm、小豆蔻11.00 ppm","依據「農藥殘留容許量標準」，農藥磷化氫於薑黃、胡荽、葫蘆巴、馬芹、胡椒、八角、肉豆蔻、小豆蔻、紅辣椒、薑容許量為0.01 ppm；陳皮、小茴香、百里香、月桂葉、鼠尾草皆為不得檢出，本案不符合食品安全衛生管理法第15條規定。","エスビー食品　東松山工場","埼玉                                                                                                                                                                                                    ","S&B","86.00  CTN/1,032.00  ","案內不符合商品依規定退運或銷毀。","2025/03/11","2024/11/27","https://www.fda.gov.tw/TC/includes/GetFile.ashx?id=p638772953636936487"
