crop,wavg_price,wavg_price_y1,wavg_price_y2,price_cv_y1,price_cv_y2,total_volume,trade_days,is_blanched,avg_daily_volume,availability,price_spread_ratio
LA1 甘藍 初秋,16.65083395376401,20.47332422628382,12.855573285557492,0.5619929567778053,0.8218107877404558,110918919,595,False,186418.3512605042,1.0,0.7006759921343118
LA2 甘藍 改良種,22.727304165069665,25.80381301316229,20.095240217786312,0.4204838429203462,0.6188498812466913,52760174,557,False,94722.03590664273,0.9361344537815126,0.5435342507601912
SA3 蘿蔔 矸仔,10.74158788031492,11.264232506456606,10.245298991664452,0.6021306561168935,0.5366764597932331,41799964,595,False,70252.04033613445,1.0,0.7516990472988987
LC1 包心白 包白,14.016745625082619,15.505781377932967,12.522912308454009,0.5500261530252983,0.5223887758740159,36159540,595,False,60772.336134453784,1.0,0.8536291425249797
FJ3 番茄 牛番茄,52.7340033149457,61.57308001005502,45.35984371379491,0.44129686829379133,0.5774710593286523,30017988,595,False,50450.4,1.0,1.1076905928531038
FD1 花胡瓜,48.14124335285188,48.4586123906889,47.83217614908464,0.4111631378044295,0.5273764342872699,27955974,595,False,46984.83025210084,1.0,0.8316913062486214
SB2 胡蘿蔔 清洗,16.146469339765833,15.90073338952162,16.389958412325804,0.277991766718264,0.2876395143052667,26864423,595,False,45150.29075630252,1.0,0.8943093109259515
LA7 甘藍 改良尖,12.626465934289367,15.690474024113056,9.481829287238046,0.6717585945839916,0.6350018654144921,26165020,498,False,52540.20080321285,0.8369747899159664,0.4923529115966898
FF1 絲瓜,30.478401740237647,31.829568559244688,29.15758207696211,0.4670714960749737,0.4345898279958466,24118545,595,False,40535.36974789916,1.0,0.891209299903326
LB2 小白菜 蚵仔白,23.071519211694365,25.659672965730923,20.77769104392736,0.7478994840428691,0.8309922409137827,19905376,595,False,33454.41344537815,1.0,0.9208306012324705
LI5 萵苣菜 油麥菜,22.917207388790324,23.098914137365853,22.72310180417327,0.789033835708655,0.7288395673412472,19359759,595,False,32537.410084033614,1.0,0.9768907241837355
SA9 蘿蔔 進口,19.104515558528266,22.03314307459346,16.04985456158256,0.39731021935860994,0.31638906772770903,18586848,594,False,31290.989898989897,0.9983193277310924,0.39861183211001827
FY6 玉米 甜軟殼,23.235867529805624,25.34625974047919,21.54762323451062,0.5293544846912103,0.5442279286587411,18109251,595,False,30435.715966386553,1.0,1.0916278911655026
LO1 甘薯葉,30.917899910058026,34.43689989328531,27.746668504059176,0.4331573882469461,0.46971879595874155,17424568,595,False,29284.988235294117,1.0,1.2376718266486728
LD1 青江白菜 小梗,25.379733544492378,28.16156083214555,22.836840712465147,0.666551811658111,0.770876099367283,16643379,595,False,27972.065546218488,1.0,0.9622889096869583
SE6 青蔥 粉蔥,66.72453013007829,78.68517448758908,54.99935038423857,0.6141863015689808,1.0230742287596855,16190864,595,False,27211.53613445378,1.0,0.7274118692148418
FI2 茄子 麻荸茄,33.57322635248544,37.14031489768077,30.542472903932442,0.5276966965978687,0.5368136432122401,15565029,595,False,26159.712605042016,1.0,1.059723816124831
FB1 花椰菜 青梗,33.02103003165047,37.60056073270076,29.413942748836195,0.7548421039734529,0.7349683178617566,15083187,595,False,25349.894117647058,1.0,0.7775401562786185
FY5 玉米 糯米黑,20.139199409882295,21.21102189427438,19.27077027506537,0.5683249645630307,0.5244953019920059,14712997,595,False,24727.72605042017,1.0,0.9106533571236543
FC1 胡瓜 黑刺,25.698253394584036,26.683315230370265,24.692778272843054,0.41390649183267536,0.4314314772188131,14349549,595,False,24116.889075630254,1.0,0.9757756370736017
LH1 菠菜 圓葉,29.812496539502014,32.20239793810351,27.609625621085463,0.6269380101147858,0.6408674953845637,12953338,417,False,31063.16067146283,0.7008403361344537,0.8333073010059625
LF2 蕹菜 小葉,40.88448940774768,44.72392667632291,37.329546418451514,0.4301597593029363,0.46058143527035755,11960865,595,False,20102.29411764706,1.0,0.8186662267050715
FG1 苦瓜 白大米,53.312471138184165,59.10684489739823,48.9221356618998,0.4166261833072069,0.31826369999718074,11680658,595,False,19631.357983193277,1.0,0.8830129228422187
FR1 青花苔,36.07224001016009,37.9884765312802,34.50962479227363,0.4424421996588105,0.39630674392154264,11267623,456,False,24709.699561403508,0.7663865546218488,0.6800008789625519
SC1 馬鈴薯 本產,20.735334906158155,20.858644714863356,20.624691250452,0.22150779541903323,0.13258597822381207,11039585,595,False,18553.9243697479,1.0,0.8277119692075912
LA9 甘藍 進口,23.618704987764595,23.532621057058655,25.08454227257843,0.37957142497838425,0.6697553391051833,10625722,424,False,25060.665094339623,0.7126050420168067,0.47021558913556966
SD9 洋蔥 進口,28.78489113895386,30.153856369611653,27.24556498430155,0.3465754608907931,0.2857528473505136,10563053,595,False,17753.03025210084,1.0,0.5320530545995361
FR9 青花苔 進口,82.24427685989073,84.72929217417567,79.92526018473448,0.42272760332539433,0.3136794624315103,9726566,583,False,16683.64665523156,0.9798319327731092,0.39723590095324235
SD1 洋蔥 本產,18.459019263760123,18.586238840993072,18.339359343047676,0.3353929303479535,0.3477624979187303,9669919,595,False,16251.964705882352,1.0,0.5105446061701587
LC9 包心白 進口,30.678085639629447,30.989451527799986,29.857016035986202,0.43580263442716416,0.4566274491684422,9652237,595,False,16222.24705882353,1.0,0.5714154321308857
FE1 冬瓜 白皮,14.714497293347128,16.38627487750062,13.131181064917863,0.47630115269591156,0.3749491013740496,9384469,593,False,15825.411467116357,0.9966386554621849,0.7958453520063081
SO1 甘薯 臺農57號,22.00042192921434,23.94435929188064,20.39815626750035,0.3496272622803487,0.3594626764158491,9365315,595,False,15740.025210084033,1.0,0.9219550012126385
LN1 油菜,22.61025005807831,24.31881676652688,20.679647241997287,0.7110577728388919,0.7611800060031274,8604761,595,False,14461.783193277312,1.0,0.9137567554084748
FT1 南瓜 木瓜形,22.996589197620665,26.878118243858186,13.749650965488401,0.33138136845735555,0.3695747071649117,8338126,595,False,14013.657142857142,1.0,0.5203187904983587
FT5 南瓜 青如意,50.074461956031676,55.20999358468035,46.26796233404514,0.45638644838585146,0.5927763626066769,8140134,595,False,13680.897478991597,1.0,1.1407915776434279
SO3 甘薯 臺農66號,21.2774099618495,20.2691201873363,22.248948455193663,0.5144846027320616,0.3572459318400011,7865166,594,False,13241.020202020201,0.9983193277310924,0.8959571114425927
